date,open,high,low,close,volume
2025-03-24,8.63,8.94,8.13,8.91,15281500
2025-03-25,8.77,8.86,8.28,8.33,12707500
2025-03-26,8.45,8.83,8.34,8.71,10028500
2025-03-27,8.71,8.94,8.6,8.81,7401166
2025-03-28,8.77,8.87,8.52,8.61,6152000
2025-03-31,8.55,8.55,8.17,8.31,9556400
2025-04-01,8.4,8.49,8.16,8.31,6327176
2025-04-02,8.33,9.18,8.31,8.96,21828500
2025-04-03,8.85,8.85,7.96,8.14,31996500
2025-04-07,7.52,7.52,6.5,6.62,31955000
2025-04-08,6.65,6.9,6.28,6.54,20373500
2025-04-09,6.25,6.77,6.05,6.64,25527634
2025-04-10,6.94,7.13,6.66,6.75,11606000
2025-04-11,6.6,6.87,6.56,6.83,11619500
2025-04-14,7.12,7.16,6.95,7.04,7387500
2025-04-15,7.02,7.13,6.88,6.97,3565000
2025-04-16,6.95,6.95,6.71,6.82,3425800
2025-04-17,6.82,6.92,6.72,6.89,4325500
2025-04-22,6.85,7.04,6.82,7.03,4723000
2025-04-23,7.15,7.5,7.15,7.44,10775000
2025-04-24,7.4,7.53,7.27,7.4,4098000
2025-04-25,7.49,7.62,7.42,7.539999999,4673299
2025-04-28,7.629999999,7.629999999,7.3,7.34,5024500
2025-04-29,7.34,7.5,7.34,7.49,2509500
2025-04-30,7.45,7.549999999,7.41,7.459999999,2253587
2025-05-02,7.459999999,7.75,7.35,7.719999999,3494500
2025-05-06,7.65,7.73,7.549999999,7.68,2705000
2025-05-07,7.709999999,7.95,7.66,7.69,3653500
2025-05-08,7.69,7.93,7.69,7.879999999,4361500
2025-05-09,7.879999999,7.94,7.73,7.86,1795615
2025-05-12,7.91,8.46,7.91,8.27,9592500
2025-05-13,8.29,8.3,8.08,8.2,3321500
2025-05-14,8.23,8.63,8.23,8.56,8254675
2025-05-15,8.65,8.65,8.44,8.6,9271500
2025-05-16,8.6,8.64,8.44,8.63,7808550
2025-05-19,8.56,8.56,8.17,8.32,7808177
2025-05-20,8.3,8.45,8.27,8.31,2721500
2025-05-21,8.34,8.51,8.3,8.49,3941500
2025-05-22,8.4,8.48,8.33,8.41,2199000
2025-05-23,8.44,8.44,8.09,8.19,13064795
2025-05-26,8.17,8.17,7.73,7.82,12444500
2025-05-27,7.82,7.98,7.76,7.889999999,7139000
2025-05-28,7.94,7.98,7.799999999,7.82,5641225
2025-05-29,7.84,8.25,7.83,8.22,6310500
2025-05-30,8.12,8.13,7.98,8.12,3215585
2025-06-02,8.11,8.11,7.81,8.08,2534500
2025-06-03,7.98,8.38,7.98,8.38,4608000
2025-06-04,8.31,8.72,8.31,8.64,9010940
2025-06-05,8.64,8.72,8.55,8.7,4389950
2025-06-06,8.72,9.15,8.68,9.15,10728000
2025-06-09,9.16,9.28,9.09,9.28,7879000
2025-06-10,9.28,9.45,9.11,9.34,8947524
2025-06-11,9.35,9.35,9.15,9.26,4433390
