date,open,high,low,close,volume
2025-03-24,509.5,513.0,500.0,508.5,24598555
2025-03-25,508.5,511.0,496.5,497.5,27744935
2025-03-26,497.5,506.0,497.5,502.0,17310634
2025-03-27,504.5,511.5,497.5,504.5,17595617
2025-03-28,507.0,512.0,499.0,505.0,18594342
2025-03-31,500.5,503.0,490.1,492.5,28036973
2025-04-01,496.5,507.0,495.5,499.5,19518013
2025-04-02,500.5,504.5,494.7,499.5,14247546
2025-04-03,488.5,496.0,486.7,493.3,29219618
2025-04-07,437.3,457.9,426.5,430.9,123364114
2025-04-08,436.3,446.7,425.5,435.9,65120104
2025-04-09,421.5,442.5,414.5,436.7,66484213
2025-04-10,455.5,457.1,438.5,440.3,57799983
2025-04-11,435.5,448.1,427.5,438.9,46594597
2025-04-14,448.5,454.7,444.3,449.5,30346489
2025-04-15,460.1,460.1,447.1,451.5,20245398
2025-04-16,446.1,447.1,435.7,443.5,27322773
2025-04-17,445.9,457.5,445.3,453.5,24479822
2025-04-22,455.5,458.3,448.7,455.9,24043746
2025-04-23,471.5,474.9,466.9,469.7,27001392
2025-04-24,472.5,473.3,460.5,466.5,18912016
2025-04-25,475.5,481.3,470.5,473.7,28746958
2025-04-28,477.9,477.9,470.3,473.7,13805160
2025-04-29,473.3,473.9,464.5,468.5,16367401
2025-04-30,470.5,472.7,464.9,472.7,15312733
2025-05-02,473.7,485.3,472.9,483.3,13240838
2025-05-06,487.1,492.3,480.7,490.9,19813305
2025-05-07,504.5,505.0,485.1,485.3,25616342
2025-05-08,482.5,497.5,482.1,493.5,19815740
2025-05-09,495.5,499.0,487.5,490.1,13777285
2025-05-12,499.5,517.0,494.5,513.0,35846811
2025-05-13,515.5,515.5,501.0,501.5,23119901
2025-05-14,507.5,516.5,506.0,516.5,24294663
2025-05-15,527.0,527.5,510.5,515.5,32799956
2025-05-16,509.5,517.0,506.5,508.0,21334027
2025-05-19,508.0,517.0,502.5,514.0,22457714
2025-05-20,512.5,517.5,511.5,517.0,15792185
2025-05-21,519.0,524.5,515.5,520.5,18924042
2025-05-22,520.0,520.0,513.0,516.5,14281176
2025-05-23,517.0,520.5,512.0,518.0,16262610
2025-05-26,515.0,517.0,508.0,510.0,17286567
2025-05-27,508.5,514.5,507.0,512.0,14986877
2025-05-28,513.0,515.0,502.5,506.0,16813826
2025-05-29,508.0,512.0,503.5,510.5,19368449
2025-05-30,506.0,506.5,496.0,498.2,28284004
2025-06-02,493.0,499.2,489.6,498.4,13086586
2025-06-03,504.0,505.5,501.0,505.0,14609189
2025-06-04,510.0,513.0,507.0,512.0,18378499
2025-06-05,517.5,517.5,509.0,515.0,19329282
2025-06-06,515.5,516.5,511.0,515.0,13137101
2025-06-09,520.0,521.0,512.5,518.0,18481403
2025-06-10,519.5,520.0,508.5,513.5,17039003
2025-06-11,517.0,518.0,514.5,518.0,14784979
2025-06-12,518.0,518.0,508.0,510.0,13368048
2025-06-13,510.5,515.5,506.0,510.0,19085310
2025-06-16,507.0,512.0,504.5,509.5,13784320
2025-06-17,514.0,514.0,506.5,513.5,11524031
2025-06-18,510.0,511.0,503.5,508.0,15187515
2025-06-19,503.0,506.0,496.0,498.0,19387767
2025-06-20,504.5,505.5,496.0,505.5,20622275
2025-06-23,498.2,504.0,494.6,504.0,14252887
2025-06-24,508.0,511.0,504.0,509.5,17768858
2025-06-25,512.0,515.0,508.0,512.5,17592461
2025-06-26,512.0,513.0,507.5,513.0,15000643
2025-06-27,512.0,514.5,510.0,513.0,15181667
2025-06-30,509.0,511.5,503.0,503.0,18464531
2025-07-02,508.0,508.5,500.0,501.5,18203168
2025-07-03,500.0,503.5,493.8,501.0,18956331
2025-07-04,493.0,501.5,493.0,496.8,14658173
2025-07-07,495.2,502.0,494.0,502.0,11631687
2025-07-08,505.0,505.0,500.0,504.5,13172857
2025-07-09,504.0,504.0,495.0,497.6,17820435
2025-07-10,497.6,499.6,494.2,496.6,14032556
2025-07-11,497.0,505.0,496.6,496.6,19225560
2025-07-14,497.0,501.5,496.0,500.0,11704663
2025-07-15,502.5,518.0,500.0,517.5,27446891
2025-07-16,520.0,526.0,516.0,516.5,23250693
2025-07-17,519.5,519.5,511.0,517.0,13735794
2025-07-18,525.0,525.0,516.5,519.0,13781113
2025-07-21,522.5,522.5,514.5,521.5,13273287
2025-07-22,521.5,526.0,519.0,526.0,17600260
2025-07-23,530.0,552.0,527.0,552.0,46744850
2025-07-24,553.5,560.0,548.0,557.0,24180342
2025-07-25,552.0,555.0,546.0,550.5,19886923
2025-07-28,550.5,558.0,546.5,555.5,14661199
2025-07-29,551.5,556.5,546.0,555.0,16847424
2025-07-30,550.0,556.0,542.5,549.0,19362555
2025-07-31,547.0,559.0,545.0,550.0,20453269
2025-08-01,551.5,554.5,533.5,535.0,21203861
2025-08-04,536.0,551.5,533.0,550.0,17340007
2025-08-05,554.5,559.0,549.0,559.0,17347823
2025-08-06,560.0,570.0,558.0,568.5,20737133
2025-08-07,571.0,572.0,560.5,567.0,16940382
2025-08-08,567.0,568.5,557.5,561.0,13305719
2025-08-11,561.0,562.5,553.5,561.0,11790350
2025-08-12,557.5,564.5,556.0,559.5,13827897
2025-08-13,568.0,586.0,566.0,586.0,37596415
2025-08-14,600.0,600.0,589.0,590.0,36339315
2025-08-15,587.0,596.5,584.5,592.0,22176876
2025-08-18,594.0,596.0,587.0,587.0,17590658
2025-08-19,588.0,597.0,583.0,592.5,16359474
2025-08-20,589.0,594.5,585.5,590.5,15952765
2025-08-21,590.5,597.0,589.5,593.0,14290178
2025-08-22,599.0,606.5,595.5,600.0,19378950
2025-08-25,608.5,621.0,608.0,614.5,25694519
2025-08-26,612.0,618.0,609.5,609.5,20656474
2025-08-27,613.0,614.5,595.0,599.0,21263402
2025-08-28,595.0,599.0,590.0,594.0,21712370
2025-08-29,595.5,605.0,594.0,596.5,18234935
2025-09-01,605.0,610.0,601.5,605.0,15958837
2025-09-02,605.5,608.5,599.0,600.5,14808157
2025-09-03,606.5,613.0,596.0,598.5,15523985
2025-09-04,605.0,605.0,591.0,592.5,18003934
2025-09-05,599.5,609.0,595.5,605.5,19047729
2025-09-08,605.5,619.0,605.0,617.5,21815489
2025-09-09,620.0,628.0,617.5,627.0,19871460
2025-09-10,630.0,639.0,628.0,633.5,19193376
2025-09-11,633.0,633.0,624.0,629.5,18191860
2025-09-12,645.0,649.0,642.0,643.5,20780375
2025-09-15,646.0,648.5,637.5,643.5,16371242
2025-09-16,647.0,649.5,640.5,645.0,13339685
2025-09-17,646.5,663.5,645.0,661.5,22349048
2025-09-18,662.0,664.5,635.5,642.0,29989898
2025-09-19,647.0,647.0,638.0,642.5,20805608
2025-09-22,642.0,643.5,634.0,641.0,12899662
2025-09-23,641.5,643.5,627.0,635.5,15293080
2025-09-24,633.5,651.0,628.0,648.5,18440788
2025-09-25,651.0,659.0,643.5,650.0,17384258
2025-09-26,645.0,653.0,640.0,644.0,19504951
2025-09-29,649.5,664.5,647.5,660.0,20489556
2025-09-30,658.0,666.5,657.5,663.0,20610633
2025-10-02,667.5,683.0,665.5,676.5,17137745
2025-10-03,677.0,680.0,670.0,673.5,7125093
2025-10-06,675.0,682.5,670.0,677.5,7828323
2025-10-08,680.0,680.0,669.5,675.0,10540730
2025-10-09,675.0,681.0,665.5,675.5,14454705
2025-10-10,669.0,669.0,647.5,651.5,19904705
2025-10-13,630.0,648.5,622.5,639.0,38012175
2025-10-14,642.5,644.0,617.0,621.0,26797863
2025-10-15,624.5,633.0,620.5,627.0,18381023
2025-10-16,626.0,629.0,615.5,620.0,14285465
2025-10-17,618.5,620.5,602.5,608.0,18654519
2025-10-20,624.0,632.5,621.5,627.5,14963360
2025-10-21,643.0,644.0,630.0,630.5,14171988
2025-10-22,626.0,629.0,616.5,623.5,9979448
2025-10-23,620.0,636.0,618.0,633.0,12419348
2025-10-24,639.0,641.5,633.5,637.5,11997034
2025-10-27,649.0,656.0,646.0,656.0,16043970
2025-10-28,656.0,656.0,641.0,645.0,16295470
2025-10-30,657.0,664.0,645.0,651.0,21772780
2025-10-31,651.5,655.0,629.0,629.0,20578283
2025-11-03,630.5,634.0,622.5,628.0,11591004
2025-11-04,631.0,640.0,625.5,629.0,14972125
2025-11-05,621.0,632.0,613.0,629.0,13309811
2025-11-06,629.5,645.5,629.5,644.0,13081287
2025-11-07,638.0,643.0,628.5,634.0,13314360
2025-11-10,641.0,651.0,641.0,649.5,14513815
2025-11-11,662.0,662.0,641.0,650.0,13087772
2025-11-12,655.0,658.5,652.0,657.0,13658568
2025-11-13,649.5,660.0,645.0,656.0,17299913
2025-11-14,645.0,659.0,640.0,641.0,19956444
2025-11-17,640.0,642.5,633.0,636.5,13794477
2025-11-18,628.0,641.0,620.5,623.5,18818609
2025-11-19,627.5,631.5,619.5,622.5,13959708
2025-11-20,626.5,630.5,615.5,621.0,14015988
2025-11-21,610.0,615.0,606.0,610.0,23732050
2025-11-24,615.0,627.5,613.5,624.5,22376801
2025-11-25,633.0,635.0,620.5,625.0,14877620
2025-11-26,628.5,630.0,618.0,619.5,14429595
2025-11-27,618.0,620.5,609.0,611.5,15493209
2025-11-28,611.5,617.0,608.5,611.5,13216245
2025-12-01,613.5,623.0,613.0,619.5,12643338
2025-12-02,625.5,626.0,615.0,617.0,11460186
2025-12-03,616.0,616.0,608.5,611.0,11002158
2025-12-04,610.0,613.0,605.0,612.0,15329748
2025-12-05,605.0,611.0,604.0,610.0,14638391
2025-12-08,607.5,609.5,604.0,605.0,13421327
2025-12-09,609.5,610.0,596.0,602.5,17431321
2025-12-10,602.0,603.0,595.0,603.0,14750743
2025-12-11,609.0,612.0,599.0,601.5,12480887
2025-12-12,608.0,616.0,601.5,616.0,17825495
2025-12-15,606.0,608.5,602.0,603.0,15165502
2025-12-16,602.5,603.0,592.0,596.5,15987678
2025-12-17,597.0,606.0,594.5,605.0,14824785
2025-12-18,601.0,606.0,599.0,605.0,10153604
2025-12-19,610.0,617.5,607.0,614.0,17765762
2025-12-22,620.0,621.5,610.0,614.5,13868060
2025-12-23,613.5,614.5,601.5,602.0,15623392
2025-12-24,598.0,604.5,598.0,603.0,7324553
2025-12-29,606.0,611.0,596.0,596.5,18502650
2025-12-30,598.5,601.0,594.0,600.0,13582535
2025-12-31,597.5,602.5,596.0,599.0,10838209
2026-01-02,600.5,624.5,600.5,623.0,16200058
2026-01-05,624.0,628.0,615.5,624.5,19947025
2026-01-06,627.0,638.5,626.0,632.5,24168431
2026-01-07,627.5,629.5,615.0,624.5,21378622
2026-01-08,618.5,621.0,610.0,616.0,18742539
2026-01-09,616.0,617.0,610.0,611.0,17813669
2026-01-12,616.0,627.5,613.5,623.0,27530129
2026-01-13,637.0,639.0,622.5,627.5,24212695
2026-01-14,634.0,638.5,626.0,633.0,28677291
2026-01-15,631.0,632.5,618.5,622.0,26194252
2026-01-16,627.0,630.0,613.5,617.5,20616793
2026-01-19,613.5,614.5,608.5,610.0,13233330
2026-01-20,601.0,607.0,598.0,601.0,24332228
2026-01-21,598.0,606.0,598.0,602.5,16003431
2026-01-22,604.5,605.5,596.0,597.5,27168713
2026-01-23,597.5,602.0,595.0,595.0,19177660
2026-01-26,595.0,605.0,594.0,599.5,17439619
2026-01-27,600.0,610.5,598.5,607.0,23887447
2026-01-28,613.0,623.0,610.5,621.0,25577066
2026-01-29,614.5,625.0,612.5,622.0,22951530
2026-01-30,615.0,619.5,605.5,606.0,21479886
2026-02-02,598.0,604.5,590.5,598.5,27926332
2026-02-03,598.5,601.5,561.0,581.0,65128647
2026-02-04,572.0,574.5,558.0,558.0,60374834
2026-02-05,550.0,561.5,541.0,558.5,79306977
2026-02-06,546.0,557.5,543.0,547.5,35402860
2026-02-09,550.0,562.5,550.0,560.0,26375723
2026-02-10,563.0,566.0,547.0,551.0,29211865
2026-02-11,543.0,550.5,543.0,548.0,23759058
2026-02-12,537.0,541.0,530.5,535.5,39790780
2026-02-13,525.5,534.5,525.0,532.0,26900740
2026-02-16,530.0,535.0,527.5,533.0,7224483
2026-02-20,531.5,533.0,518.0,522.0,21351884
2026-02-23,529.0,543.0,528.0,538.0,22136687
2026-02-24,534.5,534.5,516.0,520.0,36134943
2026-02-25,522.5,529.0,522.0,522.5,22838866
2026-02-26,529.0,529.5,512.0,512.0,25547825
2026-02-27,510.5,530.5,510.5,518.0,32229030
2026-03-02,511.5,520.0,507.0,514.0,30816358
2026-03-03,518.0,525.5,510.5,510.5,27370602
2026-03-04,506.0,515.0,498.8,506.0,32965198
2026-03-05,509.5,515.5,501.5,502.0,23955443
2026-03-06,504.0,522.0,502.0,519.0,30359878
2026-03-09,502.5,517.5,502.5,516.0,31383491
2026-03-10,525.0,556.0,525.0,553.5,57862244
2026-03-11,578.0,578.0,548.0,552.0,47623240
2026-03-12,550.5,557.0,541.5,546.5,19663840
2026-03-13,546.5,558.5,543.0,547.5,17183958
2026-03-16,551.0,565.5,543.5,558.5,24217363
2026-03-17,563.0,566.0,549.0,550.0,22872974
2026-03-18,546.5,552.0,542.5,550.5,21350876
2026-03-19,528.0,529.5,512.0,513.0,59432770
2026-03-20,505.0,519.0,505.0,508.0,24924662
2026-03-23,497.8,506.0,495.2,498.4,35123702
