date,open,high,low,close,volume
2025-03-26,5.4107,5.6607,5.3207,5.6507,35197475
2025-03-27,5.5607,5.6207,5.4607,5.4907,17459017
2025-03-28,5.4907,5.6407,5.4707,5.5607,14916441
2025-03-31,5.5007,5.5607,5.3307,5.3807,23043200
2025-04-01,5.3607,5.6107,5.3607,5.5407,18169524
2025-04-02,5.5207,5.5307,5.4507,5.4707,9691439
2025-04-03,5.3807,5.7107,5.3807,5.6907,23232971
2025-04-07,5.4107,5.5107,5.3207,5.3507,42272029
2025-04-08,5.4807,5.6207,5.4307,5.5407,28578263
2025-04-09,5.4307,5.7207,5.4007,5.7207,26073900
2025-04-10,5.7207,5.8307,5.6907,5.8007,24174660
2025-04-11,5.8007,5.8007,5.6207,5.6607,23671306
2025-04-14,5.6607,5.6607,5.5907,5.6407,10774650
2025-04-15,5.5907,5.6407,5.5707,5.6107,7196144
2025-04-16,5.5707,5.6207,5.4707,5.5907,7700000
2025-04-17,5.5807,5.7307,5.5407,5.6607,12412313
2025-04-22,5.6207,5.7107,5.6007,5.6707,8904066
2025-04-23,5.7307,5.8607,5.6507,5.8507,15633007
2025-04-24,5.8607,6.0007,5.8007,5.9707,19122060
2025-04-25,5.9007,6.0507,5.9007,5.9107,21593806
2025-04-28,5.8207,6.0907,5.8207,6.0207,26170350
2025-04-29,5.9607,6.0207,5.8407,5.9107,12877193
2025-04-30,5.9307,5.9607,5.8107,5.9407,14470694
2025-05-02,5.9407,5.9407,5.8407,5.8607,8629234
2025-05-06,5.9107,5.9307,5.7607,5.8507,16500648
2025-05-07,5.9107,5.9107,5.7607,5.8307,19196427
2025-05-08,5.8307,5.8307,5.7507,5.7707,7777162
2025-05-09,5.8007,5.8407,5.7507,5.8207,4918853
2025-05-12,5.8207,5.8707,5.7707,5.8307,11390100
2025-05-13,5.8607,5.8907,5.7907,5.8107,8975115
2025-05-14,5.8107,5.8607,5.7407,5.8507,9663973
2025-05-15,5.7907,5.8607,5.7607,5.8507,11196164
2025-05-16,5.8507,5.8607,5.7707,5.8607,8388589
2025-05-19,5.8607,5.9907,5.8107,5.9707,17513495
2025-05-20,5.9407,6.2107,5.9307,6.1707,20001840
2025-05-21,6.1607,6.1607,6.0307,6.1107,7051185
2025-05-22,6.1007,6.1507,6.0307,6.1007,8880982
2025-05-23,6.1207,6.1207,5.9207,5.9607,8574772
2025-05-26,6.0107,6.0507,5.9207,5.9807,6305213
2025-05-27,5.9807,6.1207,5.9807,6.0907,12907930
2025-05-28,6.0907,6.1007,5.9707,6.0307,7188064
2025-05-29,6.0107,6.0907,5.9807,6.0907,7990000
2025-05-30,6.0907,6.1407,6.0207,6.0407,13572683
2025-06-02,6.0407,6.1107,5.9107,6.1107,6630678
2025-06-03,6.1107,6.2907,6.1007,6.2907,17497402
